timestamp,position_lat,position_long,altitude,heart_rate,cadence,speed,distance
2025-10-08T05:49:26.000000+0700,13.811016,100.570282,8.3,113,53,1.2097746976817465,123.58175605041735
2025-10-08T05:49:27.000000+0700,13.811015,100.570271,8.3,113,53,1.1943109914107688,124.77606704182813
2025-10-08T05:49:28.000000+0700,13.811015,100.57026,8.4,113,53,1.1933091448357473,125.96937618666388
2025-10-08T05:49:29.000000+0700,13.811016,100.570248,8.4,113,52,1.3019804389178073,127.27135662558169
2025-10-08T05:49:30.000000+0700,13.811016,100.570236,8.4,113,52,1.2972127960570827,128.56856942163878
2025-10-08T05:49:31.000000+0700,13.811018,100.570224,8.5,113,52,1.3199731518197158,129.8885425734585
2025-10-08T05:49:32.000000+0700,13.811019,100.570212,8.5,113,52,1.3019804222649733,131.19052299572346
2025-10-08T05:49:33.000000+0700,13.81102,100.570198,8.5,113,52,1.5175034398423473,132.7080264355658
2025-10-08T05:49:34.000000+0700,13.811022,100.570184,8.6,113,53,1.532968604505245,134.24099504007106
2025-10-08T05:49:35.000000+0700,13.811023,100.57017,8.6,113,53,1.5175034204294175,135.75849846050048
2025-10-08T05:49:36.000000+0700,13.811024,100.570155,8.6,113,53,1.6253325712144462,137.38383103171492
2025-10-08T05:49:37.000000+0700,13.811024,100.570141,8.7,113,53,1.5167150629913633,138.90054609470627
2025-10-08T05:49:38.000000+0700,13.811023,100.570126,8.7,113,53,1.6253325781552241,140.5258786728615
2025-10-08T05:49:39.000000+0700,13.811022,100.570112,8.8,118,53,1.5207947446381311,142.04667341749962
2025-10-08T05:49:40.000000+0700,13.811021,100.570097,8.8,118,53,1.625332590504178,143.6720060080038
2025-10-08T05:49:41.000000+0700,13.811019,100.570083,8.9,118,53,1.532968623736688,145.20497463174047
2025-10-08T05:49:42.000000+0700,13.811017,100.570069,8.9,118,53,1.5297035124557865,146.73467814419627
2025-10-08T05:49:43.000000+0700,13.811014,100.570056,8.9,118,53,1.4444498419444523,148.1791279861407
2025-10-08T05:49:44.000000+0700,13.811011,100.570043,9.0,119,53,1.4479072457915392,149.62703523193224
2025-10-08T05:49:45.000000+0700,13.811008,100.570031,9.0,119,53,1.3395108850465653,150.9665461169788
2025-10-08T05:49:46.000000+0700,13.811003,100.570019,9.0,119,53,1.411581364188377,152.37812748116718
2025-10-08T05:49:47.000000+0700,13.810998,100.570008,9.1,119,53,1.316733703964065,153.69486118513126
2025-10-08T05:49:48.000000+0700,13.810992,100.569996,9.1,119,53,1.459066285601987,155.15392747073324
2025-10-08T05:49:49.000000+0700,13.810985,100.569984,9.2,119,49,1.5165654962479571,156.6704929669812
