distance,timestamp,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,heart_rate
,2022-06-10 14:27:55,179.0,2.24,1.0,207777734.0,1226275354.0,2.24,
,2022-06-10 14:27:56,179.0,2.105,1.0,207777962.0,1226275409.0,2.105,
228.89,2022-06-10 14:27:57,179.0,2.028,1.0,207778180.0,1226275455.0,2.028,128.0
,2022-06-10 14:27:58,179.0,2.04,1.0,207778393.0,1226275508.0,2.04,
,2022-06-10 14:27:59,178.79999999999995,2.04,1.0,207778604.0,1226275572.0,2.04,
233.56,2022-06-10 14:28:00,178.79999999999995,2.025,1.0,207778810.0,1226275649.0,2.025,
,2022-06-10 14:28:01,178.79999999999995,1.954,1.0,207779009.0,1226275734.0,1.954,
238.87,2022-06-10 14:28:02,178.79999999999995,1.847,1.0,207779198.0,1226275816.0,1.847,
,2022-06-10 14:28:03,178.79999999999995,1.885,1.0,207779383.0,1226275897.0,1.885,
,2022-06-10 14:28:04,178.79999999999995,1.916,1.0,207779573.0,1226275979.0,1.916,128.0
243.39,2022-06-10 14:28:05,178.79999999999995,1.915,1.0,207779766.0,1226276053.0,1.915,
,2022-06-10 14:28:06,178.79999999999995,1.93,1.0,207779965.0,1226276115.0,1.93,
248.27,2022-06-10 14:28:07,178.79999999999995,1.922,1.0,207780164.0,1226276173.0,1.922,
,2022-06-10 14:28:08,178.79999999999995,1.98,1.0,207780367.0,1226276232.0,1.98,129.0
,2022-06-10 14:28:09,178.79999999999995,2.15,1.0,207780580.0,1226276297.0,2.15,
252.53,2022-06-10 14:28:10,178.79999999999995,2.13,1.0,207780801.0,1226276367.0,2.13,
,2022-06-10 14:28:11,178.79999999999995,2.152,1.0,207781020.0,1226276438.0,2.152,
258.51,2022-06-10 14:28:12,178.79999999999995,2.111,1.0,207781239.0,1226276509.0,2.111,
,2022-06-10 14:28:13,178.79999999999995,2.076,1.0,207781454.0,1226276582.0,2.076,
,2022-06-10 14:28:14,178.79999999999995,2.045,1.0,207781666.0,1226276650.0,2.045,
264.15,2022-06-10 14:28:15,178.79999999999995,1.994,1.0,207781877.0,1226276703.0,1.994,128.0
,2022-06-10 14:28:16,178.79999999999995,1.979,1.0,207782086.0,1226276747.0,1.979,
269.26,2022-06-10 14:28:17,178.79999999999995,1.947,1.0,207782292.0,1226276798.0,1.947,
,2022-06-10 14:28:18,178.79999999999995,1.849,1.0,207782489.0,1226276854.0,1.849,130.0
,2022-06-10 14:28:19,179.0,1.854,1.0,207782681.0,1226276912.0,1.854,
273.85,2022-06-10 14:28:20,179.0,1.855,1.0,207782875.0,1226276962.0,1.855,
,2022-06-10 14:28:21,179.0,1.826,1.0,207783070.0,1226276998.0,1.826,130.0
,2022-06-10 14:28:22,179.0,1.902,1.0,207783269.0,1226277027.0,1.902,
278.74,2022-06-10 14:28:23,179.0,1.951,1.0,207783473.0,1226277061.0,1.951,
,2022-06-10 14:28:24,179.0,1.86,1.0,207783673.0,1226277108.0,1.86,
283.99,2022-06-10 14:28:25,179.0,1.857,1.0,207783863.0,1226277174.0,1.857,
,2022-06-10 14:28:26,179.0,1.823,1.0,207784049.0,1226277244.0,1.823,
,2022-06-10 14:28:27,179.0,1.815,1.0,207784233.0,1226277314.0,1.815,
288.66,2022-06-10 14:28:28,179.20000000000005,1.867,1.0,207784418.0,1226277389.0,1.867,
,2022-06-10 14:28:29,179.20000000000005,1.901,1.0,207784606.0,1226277469.0,1.901,
293.82,2022-06-10 14:28:30,179.20000000000005,1.843,1.0,207784791.0,1226277552.0,1.843,128.0
,2022-06-10 14:28:31,179.20000000000005,1.788,1.0,207784968.0,1226277638.0,1.788,
,2022-06-10 14:28:32,179.20000000000005,1.768,1.0,207785143.0,1226277719.0,1.768,
298.33,2022-06-10 14:28:33,179.20000000000005,1.757,1.0,207785320.0,1226277790.0,1.757,
,2022-06-10 14:28:34,179.20000000000005,1.816,1.0,207785502.0,1226277857.0,1.816,129.0
302.13,2022-06-10 14:28:35,179.20000000000005,1.842,1.0,207785690.0,1226277917.0,1.842,
,2022-06-10 14:28:36,179.20000000000005,1.915,1.0,207785885.0,1226277972.0,1.915,129.0
,2022-06-10 14:28:37,179.20000000000005,2.004,1.0,207786087.0,1226278032.0,2.004,
307.01,2022-06-10 14:28:38,179.39999999999998,1.926,1.0,207786285.0,1226278108.0,1.926,
,2022-06-10 14:28:39,179.39999999999998,1.801,1.0,207786469.0,1226278191.0,1.801,
,2022-06-10 14:28:40,179.39999999999998,1.843,1.0,207786647.0,1226278274.0,1.843,
311.86,2022-06-10 14:28:41,179.39999999999998,1.857,1.0,207786833.0,1226278348.0,1.857,131.0
,2022-06-10 14:28:42,179.39999999999998,1.942,1.0,207787029.0,1226278407.0,1.942,
316.66,2022-06-10 14:28:43,179.39999999999998,1.991,1.0,207787233.0,1226278467.0,1.991,
,2022-06-10 14:28:44,179.39999999999998,1.999,1.0,207787437.0,1226278537.0,1.999,
,2022-06-10 14:28:45,179.39999999999998,1.971,1.0,207787637.0,1226278614.0,1.971,
321.91,2022-06-10 14:28:46,179.60000000000002,1.851,1.0,207787830.0,1226278688.0,1.851,
,2022-06-10 14:28:47,179.60000000000002,1.792,1.0,207788015.0,1226278755.0,1.792,
326.68,2022-06-10 14:28:48,179.60000000000002,1.765,1.0,207788195.0,1226278824.0,1.765,
,2022-06-10 14:28:49,179.60000000000002,1.748,1.0,207788373.0,1226278890.0,1.748,129.0
,2022-06-10 14:28:50,179.60000000000002,1.737,1.0,207788550.0,1226278954.0,1.737,
331.26,2022-06-10 14:28:51,179.60000000000002,1.804,1.0,207788727.0,1226279026.0,1.804,
,2022-06-10 14:28:52,179.60000000000002,1.824,1.0,207788909.0,1226279101.0,1.824,
336.05,2022-06-10 14:28:53,179.60000000000002,1.802,1.0,207789093.0,1226279170.0,1.802,
,2022-06-10 14:28:54,179.79999999999995,1.835,1.0,207789278.0,1226279238.0,1.835,
,2022-06-10 14:28:55,179.79999999999995,1.829,1.0,207789466.0,1226279300.0,1.829,128.0
340.53,2022-06-10 14:28:56,179.79999999999995,1.878,1.0,207789659.0,1226279355.0,1.878,128.0
,2022-06-10 14:28:57,179.79999999999995,1.978,1.0,207789859.0,1226279413.0,1.978,
345.54,2022-06-10 14:28:58,179.79999999999995,1.959,1.0,207790063.0,1226279472.0,1.959,
,2022-06-10 14:28:59,179.79999999999995,1.918,1.0,207790264.0,1226279528.0,1.918,
