distance,timestamp,altitude,calories,enhanced_altitude,heart_rate,position_lat,position_long,cadence,fractional_cadence,enhanced_speed,power,speed
196.45,2024-09-21 20:32:43,6.399999999999977,0.0,6.399999999999977,,163709017.0,1199724297.0,82.0,0.0,3.415,284.0,3.415
199.35,2024-09-21 20:32:44,6.399999999999977,0.0,6.399999999999977,,163708661.0,1199724186.0,82.0,0.0,,,
202.25,2024-09-21 20:32:45,6.600000000000023,0.0,6.600000000000023,,163708306.0,1199724076.0,82.0,0.0,,,
205.16,2024-09-21 20:32:46,6.600000000000023,0.0,6.600000000000023,161.0,163707952.0,1199723964.0,82.0,0.0,3.432,287.0,3.432
209.24,2024-09-21 20:32:47,6.600000000000023,0.0,6.600000000000023,,163707599.0,1199723849.0,82.0,0.0,,,
213.31,2024-09-21 20:32:48,6.600000000000023,0.0,6.600000000000023,161.0,163707245.0,1199723732.0,94.0,0.0,3.416,287.0,3.416
216.62,2024-09-21 20:32:49,6.800000000000011,0.0,6.800000000000011,,163706890.0,1199723614.0,94.0,0.0,,,
219.92,2024-09-21 20:32:50,6.800000000000011,0.0,6.800000000000011,,163706536.0,1199723493.0,94.0,0.0,,,
223.22,2024-09-21 20:32:51,6.800000000000011,0.0,6.800000000000011,,163706182.0,1199723370.0,82.0,0.0,3.421,289.0,3.421
225.94,2024-09-21 20:32:52,7.0,0.0,7.0,,163705830.0,1199723245.0,82.0,0.0,,,
228.65,2024-09-21 20:32:53,7.0,0.0,7.0,,163705477.0,1199723116.0,82.0,0.0,,,
231.36,2024-09-21 20:32:54,7.0,0.0,7.0,,163705125.0,1199722987.0,82.0,0.0,3.429,291.0,3.429
235.72,2024-09-21 20:32:55,7.0,0.0,7.0,,163704774.0,1199722859.0,82.0,0.0,,,
240.07,2024-09-21 20:32:56,7.0,0.0,7.0,163.0,163704424.0,1199722734.0,82.0,0.0,3.447,294.0,3.447
242.76,2024-09-21 20:32:57,7.0,0.0,7.0,164.0,163704075.0,1199722609.0,82.0,0.0,,,
245.44,2024-09-21 20:32:58,7.199999999999989,0.0,7.199999999999989,,163703725.0,1199722485.0,82.0,0.0,,,
248.12,2024-09-21 20:32:59,7.199999999999989,0.0,7.199999999999989,,163703373.0,1199722358.0,47.0,0.0,3.417,293.0,3.417
252.31,2024-09-21 20:33:00,7.199999999999989,0.0,7.199999999999989,,163703021.0,1199722230.0,47.0,0.0,,,
256.51,2024-09-21 20:33:01,7.199999999999989,0.0,7.199999999999989,,163702669.0,1199722100.0,94.0,0.0,3.403,293.0,3.403
259.81,2024-09-21 20:33:02,7.199999999999989,0.0,7.199999999999989,,163702317.0,1199721972.0,94.0,0.0,,,
263.11,2024-09-21 20:33:03,7.199999999999989,0.0,7.199999999999989,165.0,163701965.0,1199721849.0,94.0,0.0,,,
266.41,2024-09-21 20:33:04,7.199999999999989,0.0,7.199999999999989,,163701610.0,1199721730.0,82.0,0.0,3.409,294.0,3.409
270.5,2024-09-21 20:33:05,7.199999999999989,0.0,7.199999999999989,,163701251.0,1199721614.0,82.0,0.0,,,
